Item,policy_cluster,inventory_model,SS,ROP,EOQ,s,S,production_level
500037,MTS,EOQ-ROP,2515.84,3212.35,3062.93,3212.35,6275.28,finished_products
500038,MTS,EOQ-ROP,3623.89,5524.29,5059.34,5524.29,10583.63,finished_products
500040,MTS,EOQ-ROP,3758.57,5071.62,4205.45,5071.62,9277.07,finished_products
500041,Dynamic,"(s,S)",3082.79,3302.89,1721.78,3302.89,5024.67,finished_products
500043,MTS,EOQ-ROP,5894.81,8373.13,5777.64,8373.13,14150.77,finished_products
500045,MTS,EOQ-ROP,3994.8,6046.2,5256.51,6046.2,11302.72,finished_products
500046,Dynamic,"(s,S)",4253.4,4508.93,1855.19,4508.93,6364.12,finished_products
500047,MTS,EOQ-ROP,7800.35,11035.03,6600.66,11035.03,17635.69,finished_products
500048,MTS,EOQ-ROP,3371.68,5344.7,5155.11,5344.7,10499.81,finished_products
500052,MTS,EOQ-ROP,2079.17,2942.47,3409.99,2942.47,6352.46,finished_products
500055,MTS,EOQ-ROP,3039.25,4475.73,4398.67,4475.73,8874.4,finished_products
500056,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500057,MTS,EOQ-ROP,3054.62,4371.33,4211.3,4371.33,8582.63,finished_products
500061,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500062,Dynamic,"(s,S)",1788.74,1886.82,1149.37,1886.82,3036.19,finished_products
500063,MTS,EOQ-ROP,1644.72,2253.77,2864.18,2253.77,5117.95,finished_products
500065,MTS,EOQ-ROP,7770.43,10601.38,6175.02,10601.38,16776.41,finished_products
500067,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500068,Dynamic,"(s,S)",4806.53,5202.95,2310.75,5202.95,7513.7,finished_products
500069,MTS,EOQ-ROP,4710.54,6150.32,4403.72,6150.32,10554.04,finished_products
500070,Dynamic,"(s,S)",405.16,424.22,506.74,424.22,930.97,finished_products
500071,Dynamic,"(s,S)",6492.21,7056.13,2756.02,7056.13,9812.15,finished_products
500072,MTS,EOQ-ROP,2722.27,3849.79,3897.03,3849.79,7746.81,finished_products
500073,MTS,EOQ-ROP,1599.74,2203.48,2851.64,2203.48,5055.12,finished_products
500074,MTS,EOQ-ROP,5313.04,8281.89,6323.63,8281.89,14605.52,finished_products
500075,Dynamic,"(s,S)",1772.13,1889.3,1256.24,1889.3,3145.54,finished_products
500076,MTS,EOQ-ROP,1108.72,1698.44,2818.36,1698.44,4516.8,finished_products
500077,Dynamic,"(s,S)",755.83,792.93,706.98,792.93,1499.91,finished_products
500078,Dynamic,"(s,S)",2201.94,2305.76,1182.5,2305.76,3488.25,finished_products
500079,MTS,EOQ-ROP,3675.81,5552.71,5027.96,5552.71,10580.67,finished_products
500080,Dynamic,"(s,S)",4542.8,4755.62,1693.08,4755.62,6448.7,finished_products
500081,MTS,EOQ-ROP,2896.12,4365.63,4448.96,4365.63,8814.59,finished_products
500084,Dynamic,"(s,S)",1876.94,1963.27,1078.36,1963.27,3041.63,finished_products
500085,Dynamic,"(s,S)",925.6,969.9,772.46,969.9,1742.36,finished_products
500086,MTS,EOQ-ROP,4602.17,7043.3,5734.14,7043.3,12777.44,finished_products
500088,MTS,EOQ-ROP,2537.86,3493.29,3587.32,3493.29,7080.6,finished_products
500089,Dynamic,"(s,S)",1060.57,1122.95,916.68,1122.95,2039.63,finished_products
500090,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500091,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500094,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500095,MTS,EOQ-ROP,5191.47,7811.57,5940.61,7811.57,13752.19,finished_products
500096,Dynamic,"(s,S)",2556.83,2678.8,1281.7,2678.8,3960.5,finished_products
