Item,policy_cluster,inventory_model,SS,ROP,EOQ,s,S,production_level
500640,Dynamic,"(s,S)",5122.22,5366.2,1812.8,5366.2,7179.0,finished_products
500641,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500642,Dynamic,"(s,S)",3267.88,3418.72,1425.42,3418.72,4844.14,finished_products
500643,Dynamic,"(s,S)",2306.62,2412.36,1193.41,2412.36,3605.77,finished_products
500663,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500664,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500666,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500668,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500669,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
510005,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
510006,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
510007,Dynamic,"(s,S)",739.35,773.25,675.79,773.25,1449.04,finished_products
510008,Dynamic,"(s,S)",523.84,547.85,568.7,547.85,1116.56,finished_products
510009,Dynamic,"(s,S)",489.6,512.04,549.74,512.04,1061.78,finished_products
510010,Dynamic,"(s,S)",399.19,420.61,537.08,420.61,957.69,finished_products
510011,Dynamic,"(s,S)",409.25,431.21,543.84,431.21,975.06,finished_products
510012,Dynamic,"(s,S)",1064.29,1114.85,825.28,1114.85,1940.14,finished_products
510013,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
510014,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
510015,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
510016,Dynamic,"(s,S)",483.65,505.82,546.47,505.82,1052.29,finished_products
510017,Dynamic,"(s,S)",773.34,810.3,705.56,810.3,1515.86,finished_products
510018,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
510019,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
510020,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
