Item,avg_monthly,std_monthly,CV,CV2,ADI,zero_ratio,D_annual,avg_order_size,trend_slope,n_clientes,n_pedidos,Classe,demand_class,commercial_class,policy_cluster
500356,215.46,1033.3,4.7958,23.0,24.0,0.9583,2585.5,5171.0,-29.2274,1,1,50,lumpy,low_volume_few_clients,MTO
500357,89.5,407.87,4.5572,20.7683,12.0,0.9167,1074.0,1074.0,-10.3643,2,2,50,lumpy,low_volume_many_clients,Dynamic
500359,58.58,280.96,4.7958,23.0,24.0,0.9583,703.0,1406.0,-1.8339,1,1,50,lumpy,low_volume_few_clients,MTO
500368,2899.62,1975.32,0.6812,0.4641,1.1429,0.125,34795.5,3313.86,15.7683,29,59,50,stable,high_volume_many_clients,MTS
500370,323.17,654.91,2.0265,4.1068,3.4286,0.7083,3878.0,1108.0,-33.0904,3,8,50,lumpy,low_volume_many_clients,Dynamic
500371,6556.21,3992.04,0.6089,0.3708,1.0435,0.0417,78674.5,6841.26,-15.3057,37,88,50,stable,high_volume_many_clients,MTS
500372,1519.33,1957.37,1.2883,1.6597,1.8462,0.4583,18232.0,2804.92,-102.3,13,23,50,lumpy,high_volume_many_clients,Dynamic
500373,6256.92,5252.8,0.8395,0.7048,1.0909,0.0833,75083.0,6825.73,-75.8939,24,111,50,erratic,high_volume_many_clients,MTS
500374,15649.17,8600.57,0.5496,0.302,1.0435,0.0417,187790.0,16329.57,-126.2617,30,189,50,stable,high_volume_many_clients,MTS
500375,27746.04,15851.37,0.5713,0.3264,1.0,0.0,332952.5,27746.04,-455.9317,40,252,50,stable,high_volume_many_clients,MTS
500376,15317.43,9926.27,0.648,0.42,1.0435,0.0417,183809.2,15983.41,210.3256,31,180,50,stable,high_volume_many_clients,MTS
500378,28224.62,15879.16,0.5626,0.3165,1.0,0.0,338695.48,28224.62,-410.8835,32,166,50,stable,high_volume_many_clients,MTS
500379,7563.92,6149.18,0.813,0.6609,1.1429,0.125,90767.0,8644.48,-281.8148,28,100,50,erratic,high_volume_many_clients,MTS
500380,21205.0,13969.88,0.6588,0.434,1.0435,0.0417,254460.0,22126.96,413.392,22,115,50,stable,high_volume_many_clients,MTS
500381,9498.04,10678.75,1.1243,1.2641,1.2632,0.2083,113976.5,11997.53,-342.6022,15,126,50,erratic,high_volume_many_clients,MTS
500382,4866.61,3557.38,0.731,0.5343,1.0435,0.0417,58399.28,5078.2,-145.8822,15,102,50,erratic,high_volume_many_clients,MTS
500383,22491.58,19791.88,0.88,0.7743,1.0,0.0,269899.0,22491.58,367.5313,27,195,50,erratic,high_volume_many_clients,MTS
500384,5645.79,4205.87,0.745,0.555,1.1429,0.125,67749.5,6452.33,8.9839,19,105,50,erratic,high_volume_many_clients,MTS
500385,19739.25,12290.34,0.6226,0.3877,1.0435,0.0417,236871.0,20597.48,222.367,30,220,50,stable,high_volume_many_clients,MTS
500386,15931.5,8554.36,0.5369,0.2883,1.0,0.0,191178.0,15931.5,19.3104,22,81,50,stable,high_volume_many_clients,MTS
500387,3834.46,3235.63,0.8438,0.7121,1.1429,0.125,46013.5,4382.24,-202.297,19,77,50,erratic,high_volume_many_clients,MTS
500388,3771.0,3295.35,0.8739,0.7636,1.2,0.1667,45252.0,4525.2,-192.1904,19,50,50,erratic,high_volume_many_clients,MTS
500389,19.83,95.12,4.7958,23.0,24.0,0.9583,238.0,476.0,3.9322,1,1,50,lumpy,low_volume_few_clients,MTO
500390,8273.24,6113.92,0.739,0.5461,1.0,0.0,99278.87,8273.24,122.0455,34,126,50,erratic,high_volume_many_clients,MTS
500391,16014.5,13673.47,0.8538,0.729,1.0,0.0,192174.0,16014.5,-391.8108,27,193,50,erratic,high_volume_many_clients,MTS
500393,6704.33,3989.3,0.595,0.3541,1.0909,0.0833,80452.0,7313.82,-202.1713,33,99,50,stable,high_volume_many_clients,MTS
500395,18386.65,11882.14,0.6462,0.4176,1.0,0.0,220639.78,18386.65,-24.9928,23,96,50,stable,high_volume_many_clients,MTS
500396,6907.96,6151.9,0.8906,0.7931,1.2632,0.2083,82895.5,8725.84,-182.6004,21,78,50,erratic,high_volume_many_clients,MTS
500401,3355.42,4040.36,1.2041,1.4499,2.0,0.5,40265.0,6710.83,-287.0304,21,42,50,lumpy,high_volume_many_clients,Dynamic
500404,27017.0,11279.46,0.4175,0.1743,1.0,0.0,324204.0,27017.0,239.7957,28,320,50,stable,high_volume_many_clients,MTS
500405,7332.12,3665.7,0.5,0.25,1.0,0.0,87985.5,7332.12,-3.0743,28,158,50,stable,high_volume_many_clients,MTS
500407,1781.25,5916.63,3.3216,11.0331,12.0,0.9167,21375.0,21375.0,-136.0009,2,6,50,lumpy,high_volume_many_clients,Dynamic
500410,904.88,1688.6,1.8661,3.4824,3.0,0.6667,10858.5,2714.62,-5.1726,5,13,50,lumpy,high_volume_many_clients,Dynamic
500411,4888.88,5463.25,1.1175,1.2488,1.1429,0.125,58666.5,5587.29,-256.4248,29,65,50,erratic,high_volume_many_clients,MTS
500412,1410.12,1613.92,1.1445,1.3099,1.6,0.375,16921.5,2256.2,-24.1222,18,33,50,lumpy,high_volume_many_clients,Dynamic
500413,805.04,1251.96,1.5552,2.4185,2.6667,0.625,9660.5,2146.78,-19.3639,9,11,50,lumpy,high_volume_many_clients,Dynamic
500415,183.17,780.23,4.2596,18.1446,12.0,0.9167,2198.0,2198.0,-20.5878,2,3,50,lumpy,low_volume_many_clients,Dynamic
500416,7058.81,4988.64,0.7067,0.4995,1.0435,0.0417,84705.72,7365.71,-83.5239,20,89,50,erratic,high_volume_many_clients,MTS
500418,945.75,1593.54,1.6849,2.839,3.0,0.6667,11349.0,2837.25,-59.36,2,10,50,lumpy,high_volume_many_clients,Dynamic
500419,41.42,198.63,4.7958,23.0,24.0,0.9583,497.0,994.0,3.0252,1,2,50,lumpy,low_volume_few_clients,MTO
500420,116.83,560.31,4.7958,23.0,24.0,0.9583,1402.0,2804.0,-23.1635,2,2,50,lumpy,low_volume_many_clients,Dynamic
500426,826.5,1818.11,2.1998,4.839,4.8,0.7917,9918.0,3967.2,7.8643,3,12,50,lumpy,high_volume_many_clients,Dynamic
500429,1313.25,1522.49,1.1593,1.3441,1.8462,0.4583,15759.0,2424.46,174.52,5,33,50,lumpy,high_volume_many_clients,Dynamic
500431,4323.75,3351.33,0.7751,0.6008,1.0,0.0,51885.0,4323.75,-36.0974,18,84,50,erratic,high_volume_many_clients,MTS
500434,156.0,458.63,2.9399,8.6432,8.0,0.875,1872.0,1248.0,-23.8574,3,3,50,lumpy,low_volume_many_clients,Dynamic
500441,1722.67,2766.74,1.6061,2.5795,2.1818,0.5417,20672.0,3758.55,-179.2948,6,18,50,lumpy,high_volume_many_clients,Dynamic
500459,935.21,2218.42,2.3721,5.6269,4.8,0.7917,11222.5,4489.0,-7.1691,2,17,50,lumpy,high_volume_many_clients,Dynamic
500460,759.83,1692.65,2.2277,4.9625,3.0,0.6667,9118.0,2279.5,69.3835,8,13,50,lumpy,high_volume_many_clients,Dynamic
500461,940.33,1824.02,1.9398,3.7627,2.6667,0.625,11284.0,2507.56,4.0548,3,13,50,lumpy,high_volume_many_clients,Dynamic
500463,112.04,301.69,2.6927,7.2506,8.0,0.875,1344.5,896.33,-14.3213,2,3,50,lumpy,low_volume_many_clients,Dynamic
500464,24417.62,12093.11,0.4953,0.2453,1.0435,0.0417,293011.5,25479.26,1040.1648,8,209,50,stable,high_volume_many_clients,MTS
500468,81.12,389.06,4.7958,23.0,24.0,0.9583,973.5,1947.0,0.8465,1,1,50,lumpy,low_volume_few_clients,MTO
500474,199.58,522.97,2.6203,6.866,6.0,0.8333,2395.0,1197.5,-19.453,2,5,50,lumpy,low_volume_many_clients,Dynamic
500475,599.25,1608.01,2.6834,7.2005,6.0,0.8333,7191.0,3595.5,33.7035,1,4,50,lumpy,high_volume_few_clients,Dynamic
500483,821.88,1214.17,1.4773,2.1825,2.1818,0.5417,9862.5,1793.18,-6.7761,7,12,50,lumpy,high_volume_many_clients,Dynamic
500487,1863.5,2448.7,1.314,1.7267,2.0,0.5,22362.0,3727.0,128.0487,15,29,50,lumpy,high_volume_many_clients,Dynamic
